Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.11267615661334,0.013884602527498,0.0771535284727726,0,0,0,0.436656281721509,0.000275493469666201,4.20948592024221E-06,2.42104668669586E-10,0.000797952591500023,-3.55525800140338E-11,0.000596315822730298,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,mount-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00637794197313961,0.0488798574560041,-0.00229432016805609,0,0,0,0.356326097361486,0.000175906235396942,2.2378159924514E-05,5.37299235078898E-05,0.000323052071060414,4.53382642908421E-06,0.000370588071031931,0,0,0,0,0,0,package://arm/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/link1.STL,,link1-2,Origin_J1,Axis_J1,J1,continuous,0.087103,-0.077154,0.054376,1.5708,0,-0.4338,base_link,0,1,0,,,,,,,,,,,,
link2,-0.00340002921382154,0.0658586540543321,-0.0427455202808698,0,0,0,0.267463885653893,0.000716832892475676,-3.95957511281332E-05,1.14859018407552E-05,8.27382947569244E-05,1.69435953179277E-05,0.000774373298789873,0,0,0,0,0,0,package://arm/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/link2.STL,,link2-2,Origin_J2,Axis_J2,J2,continuous,-0.036897,0.0583,0.0066976,0.02505,-0.0017367,0.13843,link1,0.1786,0,0.98392,,,,,,,,,,,,
link3,0.0116008195129443,0.00105076108306434,-0.00604275447989674,0,0,0,0.222311273220152,9.15297337144465E-05,-2.93852346176469E-06,5.3666166005303E-06,0.000120029856424499,-5.92736224758901E-06,0.000140785047861827,0,0,0,0,0,0,package://arm/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/link3.STL,,link3-2,Origin_J3,Axis_J3,J3,continuous,0.010122,0.15967,-0.0018373,-0.053663,-0.0081114,-0.29997,link2,0.1786,0,0.98392,,,,,,,,,,,,
link4,0.00585422681677519,0.000759260580205673,-0.000641970384326285,0,0,0,0.160828452634981,5.00130643800339E-05,-6.74033778405661E-06,9.04328070705385E-06,0.000100881764512692,1.19039283378941E-06,9.29585969696634E-05,0,0,0,0,0,0,package://arm/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/link4.STL,,link4-2,Origin_J4,Axis_J4,J4,continuous,-0.0014919,0.014877,0.0025068,-0.46606,-0.039287,0.095081,link3,0.97586,0.12771,-0.17714,,,,,,,,,,,,
link5,0.00207136926136325,0.00132324610517852,-0.000396911101234465,0,0,0,0.0179895273320858,2.01072029683863E-06,-3.67044819195392E-07,2.26773043949773E-08,2.36455919952921E-06,6.03479232687029E-08,2.09143498833266E-06,0,0,0,0,0,0,package://arm/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/link5.STL,,link5-2,Origin_J5,Axis_J5,J5,continuous,-0.13475,-0.017736,0.024463,0.2008,-0.184,1.7043,link4,0.17609,0.019561,0.98418,,,,,,,,,,,,
